Player,Country,2013,2014,2015,2016,2017,2018,2019
GeT_RiGhT,SE,1,1,11,18,,,
f0rest,SE,2,7,16,7,,,
shox,,3,8,13,6,,,
Dosia,,4,,,,,,
NBK,,5,17,9,,,,
Xizt,SE,6,,,,,,
ScreaM,,7,,,9,,,
JW,SE,8,5,10,,,,
Hiko,,9,,,,,,
GuardiaN,,10,11,2,17,9,11,
friberg,SE,11,14,,,,,
kennyS,,12,6,6,13,7,,
flusha,SE,13,2,5,10,,,
Nico,,14,,,,,,
markeloff,,15,,,,,,
Edward,,16,,,,,,
SmithZz,,17,,,,,,
dupreeh,,18,16,12,,10,5,16
pasha,,19,3,,,,,
Xyp9x,,20,,,,13,13,14
Snax,,,4,4,5,20,,
KRIMZ,SE,,9,7,,,9,17
Happy,,,10,8,,,,
olofmeister,,,12,1,8,19,,
byali,,,13,,,,,
apEX,,,15,18,,,,
dupreeh,,18,16,12,,10,5,16
swag,,,18,,,,,
kioShiMa,,,19,,,,,
device,,,20,3,3,5,2,3
flamie,,,,14,12,,,
cajunb,,,,15,,,,
NEO,,,,17,,,,
allu,,,,19,,,,
Skadoodle,,,,20,,,,
coldzera,,,,,1,1,10,
FalleN,,,,,2,6,,
s1mple,,,,,4,8,1,2
NiKo,,,,,11,2,3,11
Magisk,,,,,14,,7,5
fer,,,,,15,3,,
Kjaerbye,,,,,16,15,,
fnx,,,,,19,,,
dennis,,,,,20,,,
rain,,,,,,4,18,
Hobbit,,,,,,11,,
EliGE,,,,,,12,15,4
k0nfig,,,,,,14,,
oskar,,,,,,16,14,
AdreN,,,,,,17,,
boltz,,,,,,18,,
electronic,,,,,,,4,6
NAF,,,,,,,6,7
gla1ve,,,,,,,8,
Twistzz,,,,,,,12,9
suNny,,,,,,,16,
autimatic,,,,,,,17,
ropz,,,,,,,19,10
valde,,,,,,,20,
ZywOo,,,,,,,,1
Brehze,,,,,,,,8
woxic,,,,,,,,12
sergej,,,,,,,,13
jks,,,,,,,,15
CeRq,,,,,,,,18
Brollan,,,,,,,,19
Ethan,,,,,,,,20
